Filename,Hotspot-cluster,minimum,maximum,average,Hotspot-U1,Hotspot-U2,Hotspot-U3,Hotspot-U4,density
0174_MWIR.jpg,1,4.117794,9.093731,8.287262697674418,0.8176274542088657,1.1230723991156064,0.3329726228933349,0.32546163773464837,45.02287658376349%
0175_MWIR.jpg,1,5.293598,10.428104,9.128763285290797,0.951772012153717,1.31405600075354,0.39281320655496244,0.3825266826479244,14.720764715050134%
0176_MWIR.jpg,1,5.106049,10.171658,9.081370432763983,0.9441036527254936,1.3027049938550774,0.38907072518846947,0.3790591796395469,17.84663365813261%
0177_MWIR.jpg,2,6.065495,9.740387,8.743438780477316,0.8903011993040573,1.2263686705376204,0.36526622368482364,0.35629874024648367,18.56760748932093%
0178_MWIR.jpg,2,5.242649,10.359531,8.956449213722301,0.924398988524612,1.275458582567023,0.38088169988599574,0.3710636784880209,16.11103290790791%
0179_MWIR.jpg,2,5.791363,10.803181,9.143417861218701,0.9540670390971642,1.3171585951131761,0.3937128679401943,0.38342065011322113,19.521859673334134%
0180_MWIR.jpg,0,5.095558,10.453297,9.078252664874572,0.9436230929079737,1.3020818070060864,0.3889012086396391,0.3788826515396778,32.39902752143974%
0181_MWIR.jpg,0,6.057976,10.572163,9.232924805980259,0.9683048062699828,1.3373123746641806,0.3999776386178616,0.3894222577777425,23.90171017268257%
0182_MWIR.jpg,2,6.261662,10.436527,9.331617803733666,0.984081770889625,1.3599372928783116,0.40713525607192175,0.3962078524223427,13.206988938016734%
0183_MWIR.jpg,2,6.076679,10.861584,9.412600609622913,0.9969969660608503,1.3783430510661765,0.41290937369717795,0.40170881232806227,14.87589372610025%
0184_MWIR.jpg,2,5.546276,10.608974,9.193968359167563,0.9621027764510556,1.328514204028575,0.39723475459922464,0.386799463962068,19.814439586221607%
0185_MWIR.jpg,1,5.449055,10.477993,9.175071320297127,0.9591219612039529,1.324394286058762,0.3959977114172396,0.38559185844335697,12.868754906181154%
0186_MWIR.jpg,1,5.739193,10.501637,9.221964009544697,0.9665766684249448,1.3349256087822898,0.39926146763697334,0.38872224382645487,15.595743333122188%
0187_MWIR.jpg,0,6.328304,10.850239,9.347124009587047,0.9865454133780671,1.363413340822918,0.40821089071795236,0.3972409356813885,16.242574542937884%
0188_MWIR.jpg,2,6.163635,10.653942,9.23445286971383,0.9685977858999947,1.3379144559738962,0.4002447586880886,0.3896325020100256,15.436245728344161%
0189_MWIR.jpg,2,4.254044,9.262352,8.54187080994357,0.858144961401632,1.180492967931355,0.3508510467975128,0.3425734616869552,39.29192510579097%
0190_MWIR.jpg,2,6.238838,10.686657,9.325192395187626,0.983092724489415,1.3586601526577726,0.4067904467842063,0.39584720286518177,13.29914894589673%
0191_MWIR.jpg,0,6.428059,10.77103,9.353871256590157,0.9876614849569804,1.3651527906840384,0.4088195026138259,0.3977847423591657,15.390904603233372%
0192_MWIR.jpg,2,6.348347,10.5005,9.233374834928803,0.9684313331729902,1.337697778823422,0.4001855007696674,0.3895711395934966,16.01065205521443%
0193_MWIR.jpg,2,5.74081,10.96899,9.38648028867486,0.9928544186410465,1.37252483600662,0.4111200733997078,0.39998327024085906,21.435834754206127%
0194_MWIR.jpg,0,5.227268,10.714741,9.303049153674833,0.9795233583454778,1.3534316590369044,0.4050902168972894,0.39426150419894673,24.935462806437243%
0195_MWIR.jpg,0,7.689617,9.001957,8.23180180567869,0.8088109984758336,1.1106135120075926,0.3291086563171346,0.3217548271893356,42.55909444012873%
0196_MWIR.jpg,1,6.240982,10.669407,9.252623756005406,0.9714723473498547,1.341923824773629,0.4014656025310896,0.3908165638384297,22.10043742983703%
0197_MWIR.jpg,2,6.287228,10.791569,9.319556458958107,0.9821498652621353,1.357152285872009,0.40624796791817713,0.3953699874223022,20.832796599252866%
0198_MWIR.jpg,2,6.32618,10.712315,9.286517384617834,0.9768925169702037,1.349703701767525,0.40392977726465545,0.39315089776074946,18.515133468167534%
0199_MWIR.jpg,2,6.242748,10.6712,9.324714414941369,0.9830038343821725,1.3584864743223226,0.40671612994245865,0.39578780535203817,17.28828037585572%
0200_MWIR.jpg,2,6.339794,10.705555,9.242187630120599,0.9698264589228841,1.3396474647206313,0.40078084625327887,0.390147625534998,18.309200478315947%
0201_MWIR.jpg,2,6.395432,10.797276,9.221279751976597,0.9665190184321082,1.3350340141287569,0.39937577097725946,0.3887847296016182,16.703975910774776%
0202_MWIR.jpg,0,6.501163,10.859913,9.269916120064034,0.9742902745275617,1.3461631402313987,0.4028898616999723,0.3921193017729001,16.46049568870866%
0203_MWIR.jpg,2,6.565182,10.901981,9.353268506143529,0.9875852627986248,1.365117228531482,0.4088389956575915,0.39778530305594023,17.026814271631903%
0204_MWIR.jpg,1,6.748928,10.787495,9.157220807653598,0.9562897249350011,1.3204062567064259,0.3947656403014428,0.3844044213665639,25.296782024334647%
0205_MWIR.jpg,0,5.526714,10.668133,9.27307923669755,0.9747133409729508,1.346463293266308,0.40285610606906685,0.3921604005328555,29.811034513531%
0206_MWIR.jpg,0,6.136402,10.627506,9.167836530454522,0.9579434755717676,1.322617056020089,0.39539752109754117,0.38504173519754153,20.400666042252055%
0207_MWIR.jpg,0,5.995937,10.687672,9.277386777590426,0.9754109262182672,1.347497309034008,0.4031974208206532,0.3924760485943871,17.649221289234593%
0208_MWIR.jpg,1,5.901287,10.520077,9.20351337054307,0.963617030263389,1.3306417599597564,0.39788916642751615,0.3874300498933748,19.899048007868316%
0209_MWIR.jpg,1,6.105415,10.617893,9.13802526062567,0.9531708262396712,1.3157464701416608,0.3932128169180577,0.3829768034419663,20.141892424521114%
0210_MWIR.jpg,0,6.282711,10.553997,9.181642451490971,0.9601336692972797,1.3256951278840026,0.3963448555692983,0.3859546715214525,19.56128820243181%
0211_MWIR.jpg,0,6.078186,10.669155,9.249244704098041,0.9709273293299553,1.3411244340017174,0.40120526928914324,0.3905740694957105,20.81433736833831%
0212_MWIR.jpg,0,6.037891,10.43626,9.122844956589287,0.9507438529514004,1.3122650011667658,0.39211094997507656,0.38193243075654437,20.06496616157509%
0213_MWIR.jpg,0,5.524452,10.471478,8.95263279020003,0.9236063635884986,1.2736184616673136,0.37999827689727006,0.37038528636963997,23.043471179373583%
0214_MWIR.jpg,1,5.611336,10.515621,9.1670640858532,0.9578024795344889,1.3223493328605627,0.39528519914939525,0.3849506950076674,17.371592977255638%
0215_MWIR.jpg,2,5.508656,10.456745,9.158382356836352,0.9564580676573713,1.3205883145008106,0.3947994673547701,0.38445230375133277,14.390551467720547%
0216_MWIR.jpg,1,5.423832,10.492588,9.277654935890471,0.9754809374687937,1.3477034216089068,0.40330815065365755,0.3925574603082883,13.448484981331696%
0217_MWIR.jpg,2,5.141605,10.497311,8.962181379253778,0.9253355870462532,1.2768794373055492,0.3813644251432,0.3715036064464129,14.698247558072724%
0218_MWIR.jpg,2,6.107285,10.405857,9.064971577996946,0.9415297356642177,1.2991916071622087,0.38803410000000527,0.37803442496933404,22.726401227072284%
0219_MWIR.jpg,0,6.024433,10.618275,9.21068769028224,0.9647609869544455,1.332271970890045,0.39840071000185245,0.3879176529543806,18.51208776037933%
0220_MWIR.jpg,2,6.329433,10.443516,9.194744262105203,0.9622225930165398,1.328670251027704,0.39727745897159894,0.3868436859282568,17.589155722512906%
0221_MWIR.jpg,2,5.503368,10.744251,9.159704236235104,0.9566355480335098,1.3207119936396614,0.394782455627419,0.38446563319983723,28.401542746946646%
0222_MWIR.jpg,1,5.435818,10.699131,9.221824804858164,0.9665314472127077,1.3347737584734305,0.39917649888767404,0.3886618566062309,30.700972391754554%
0223_MWIR.jpg,2,7.120083,10.504421,8.812157867277927,0.9013151070091849,1.2422637519958244,0.3703358201955777,0.3610790712455624,34.16075104929705%
0224_MWIR.jpg,2,5.964123,10.677303,9.230939921199486,0.9679899022633333,1.3368702810710542,0.3998418925963165,0.38929150964501635,26.543119983689838%
0225_MWIR.jpg,2,4.031181,9.089947,8.476220307742524,0.8476924494694346,1.1656611990605643,0.34622520601758416,0.33815063243601046,49.88053322478885%
0226_MWIR.jpg,1,5.757725,10.480289,9.070610213826571,0.9424195949195068,1.3004244229959419,0.38840582925790207,0.37839698543766953,25.63161436349177%
0227_MWIR.jpg,2,5.823883,10.485348,9.009369170910126,0.9326512749494428,1.2864966342775206,0.38403346460565324,0.37423276971432534,32.288373691635655%
0228_MWIR.jpg,0,5.537579,10.523746,9.019479972859529,0.9342540061573094,1.2887441762282827,0.3847230390374456,0.3748984680726977,31.151444459715975%
0229_MWIR.jpg,1,5.472752,10.559086,9.118420413312561,0.9500390564394258,1.3112638532212835,0.3917982990128769,0.38163383936734485,30.84423692514927%
0230_MWIR.jpg,0,4.590282,9.857449,9.055704050625424,0.9400245252337451,1.296943031685986,0.3872844738672852,0.37734456489444645,49.74988866267973%
